product_id,category_id
87608,30
87608,363
87608,666
87608,921
97684,2
97684,30
97684,363
97684,666
97684,979
97684,1000
104126,30
104126,363
104126,667
104126,1279
104126,1773
97381,30
97381,363
97381,667
97381,907
108848,2
108848,30
108848,363
108848,1246
108848,666
108848,922
108848,1802
88026,30
88026,363
88026,1246
88026,666
88026,922
88026,1802
78144,30
78144,363
78144,666
78144,969
78144,979
117055,30
117055,363
117055,666
117055,979
117055,2720
97791,30
97791,363
97791,667
97791,1148
44519,2
44519,30
44519,363
44519,852
32224,30
32224,363
32224,1246
32224,666
32224,922
32224,1802
117041,30
117041,363
117041,666
117041,979
117041,2720
105026,2
105026,30
105026,937
105026,363
105026,852
102551,2
102551,30
102551,363
102551,666
102551,1000
72878,2
72878,30
72878,363
72878,667
72878,1148
72878,1772
72878,2372
87129,30
87129,363
87129,667
87129,907
87129,1773
104116,30
104116,363
104116,667
104116,1279
104116,1772
87610,30
87610,363
87610,666
87610,921
53355,30
53355,363
53355,666
53355,969
53355,979
116210,30
116210,363
116210,667
116210,1278
116210,1773
78145,30
78145,363
78145,852
78140,30
78140,363
78140,666
78140,969
78140,979
78146,30
78146,363
78146,852
83318,2
83318,30
83318,363
83318,667
83318,1773
83318,2358
78143,30
78143,363
78143,666
78143,969
78143,979
91574,30
91574,363
91574,1291
91574,774
91574,969
67925,30
67925,363
67925,667
67925,1750
64501,2
64501,30
64501,363
64501,667
64501,907
97793,30
97793,363
97793,667
97793,2013
91577,30
91577,363
91577,1291
91577,774
91577,969
73733,30
73733,1634
73733,363
73733,1865
73733,2200
72882,30
72882,363
72882,667
72882,907
65854,2
65854,937
65854,1706
65854,363
65848,2
65848,937
65848,363
94475,30
94475,363
94475,667
94475,2372
94475,2404
94431,30
94431,363
94431,667
94431,2405
92421,30
92421,363
92421,667
92421,1772
92421,2359
72895,2
72895,30
72895,363
72895,667
72895,907
72895,1772
94473,30
94473,363
94473,667
94473,2372
94473,2404
72791,30
72791,363
72791,667
72791,1148
83322,2
83322,30
83322,363
83322,667
83322,1773
83322,2358
117053,30
117053,363
117053,666
117053,979
117053,2720
94426,30
94426,363
94426,667
94426,2405
92446,30
92446,363
92446,667
92446,1772
92446,2359
91562,30
91562,363
91562,969
97795,30
97795,363
97795,667
97795,2013
83324,2
83324,30
83324,363
83324,667
83324,1772
83324,2358
68312,2
68312,1706
68312,363
68312,2006
91566,30
91566,363
91566,969
97368,30
97368,363
97368,666
97368,969
117051,30
117051,363
117051,666
117051,979
117051,2720
65845,2
65845,937
65845,363
94463,30
94463,363
94463,667
94463,2372
94463,2404
92962,2
92962,30
92962,363
92962,667
92962,1773
92962,2358
108041,30
108041,363
108041,667
108041,1277
108041,2615
67919,2
67919,30
67919,363
67919,667
67919,1750
83326,2
83326,30
83326,363
83326,667
83326,1772
83326,2358
92442,30
92442,363
92442,667
92442,1772
92442,2359
92965,2
92965,30
92965,363
92965,667
92965,1773
92965,2358
92461,30
92461,363
92461,667
92461,1772
92461,2359
92966,2
92966,30
92966,363
92966,667
92966,1772
92966,2358
97801,30
97801,363
97801,667
97801,2013
97803,30
97803,363
97803,667
97803,2013
117043,30
117043,363
117043,666
117043,979
117043,2720
108039,30
108039,363
108039,667
108039,1282
108039,2615
68317,2
68317,1706
68317,363
68317,2006
86129,30
86129,363
86129,667
86129,1277
86129,1772
94434,30
94434,363
94434,667
94434,2405
65853,2
65853,1706
65853,363
65853,2006
65853,2406
91579,30
91579,363
91579,774
91579,969
93919,30
93919,363
93919,667
93919,1772
93919,2359
83328,2
83328,30
83328,363
83328,667
83328,1772
83328,2358
68631,2
68631,1706
68631,363
68631,2006
68631,2411
72880,2
72880,30
72880,363
72880,667
72880,1148
72880,1773
68346,2
68346,1706
68346,363
68346,2006
68346,2407
97799,30
97799,363
97799,667
97799,2013
51043,2
51043,30
51043,363
51043,1747
51043,1748
93832,30
93832,363
93832,667
93832,1773
93832,2359
73736,30
73736,1634
73736,363
73736,1865
73736,2200
108037,30
108037,363
108037,667
108037,2013
108037,2615
73737,30
73737,1634
73737,363
73737,1865
65850,2
65850,937
65850,363
65850,2606
65846,2
65846,937
65846,363
86127,30
86127,363
86127,667
86127,1277
86127,1772
97797,30
97797,363
97797,667
97797,2013
92444,30
92444,363
92444,667
92444,1772
92444,2359
70343,30
70343,363
70343,1246
70343,666
70343,922
70343,1802
68629,2
68629,1706
68629,363
68629,2006
68629,2410
73728,30
73728,1634
73728,363
73728,1865
73728,2200
68329,2
68329,1706
68329,363
68329,2006
68619,2
68619,1706
68619,363
68619,2006
68619,2406
117847,30
117847,363
117847,667
117847,1277
117847,2558
51044,2
51044,30
51044,363
51044,1747
51044,1748
94452,30
94452,363
94452,667
94452,2405
92963,2
92963,30
92963,363
92963,667
92963,1773
92963,2358
68421,2
68421,1706
68421,363
68421,2006
93909,30
93909,363
93909,667
93909,1772
93909,2359
65855,2
65855,1706
65855,363
65855,2006
67921,2
67921,30
67921,363
67921,667
67921,1750
51048,2
51048,30
51048,363
51048,1269
117849,30
117849,363
117849,667
117849,2013
117849,2558
73735,30
73735,1634
73735,363
73735,1865
73735,2200
108036,30
108036,363
108036,667
108036,1750
108036,2615
86123,30
86123,363
86123,667
86123,1277
86123,1772
80623,2
80623,1706
80623,363
80623,2006
80623,2410
73739,30
73739,1634
73739,363
73739,1865
51046,2
51046,30
51046,363
51045,2
51045,30
51045,363
51047,2
51047,30
51047,363
108038,30
108038,363
108038,667
108038,1148
108038,2615
94457,30
94457,363
94457,667
94457,2405
80626,2
80626,30
80626,1706
80626,363
80626,2006
80626,2410
80751,2
80751,30
