category_id,parent_id,level,title,slug,created_at,updated_at
30,,1,Phụ kiện,phu-kien,2025-11-19 17:36:57,2025-11-19 17:36:57
363,30,2,Camera,camera,2025-11-19 17:36:57,2025-11-19 17:36:57
666,363,3,Camera hành trình/hành động,hanh-trinh,2025-11-19 17:36:57,2025-11-19 17:36:57
921,666,4,Gopro,gopro,2025-11-19 17:36:57,2025-11-19 17:36:57
2,,1,Root,default-category,2025-11-19 17:36:57,2025-11-19 17:36:57
979,666,5,Action camera,action-camera,2025-11-19 17:36:57,2025-11-19 17:36:57
1000,979,6,DJI,dji,2025-11-19 17:36:57,2025-11-19 17:36:57
667,363,3,Camera An ninh,an-ninh,2025-11-19 17:36:57,2025-11-19 17:36:57
1279,667,4,Eufy,eufy,2025-11-19 17:36:57,2025-11-19 17:36:57
1773,1279,5,camera trong nhà,trong-nha,2025-11-19 17:36:57,2025-11-19 17:36:57
907,667,4,Ezviz,ezviz,2025-11-19 17:36:57,2025-11-19 17:36:57
1246,363,4,Phụ kiện ô tô,o-to,2025-11-19 17:36:57,2025-11-19 17:36:57
922,666,6,Vietmap,vietmap,2025-11-19 17:36:57,2025-11-19 17:36:57
1802,922,7,dashcam,dashcam,2025-11-19 17:36:57,2025-11-19 17:36:57
969,666,4,Insta360,insta360,2025-11-19 17:36:57,2025-11-19 17:36:57
2720,979,5,Akaso,akaso,2025-11-19 17:36:57,2025-11-19 17:36:57
1148,667,4,Imou,imou,2025-11-19 17:36:57,2025-11-19 17:36:57
852,363,4,Gimbal,gimbal,2025-11-19 17:36:57,2025-11-19 17:36:57
937,30,3,Sản phẩm mới,san-pham-moi,2025-11-19 17:36:57,2025-11-19 17:36:57
1772,1148,6,camera ngoài trời,ngoai-troi,2025-11-19 17:36:57,2025-11-19 17:36:57
2372,1772,7,AI,ai,2025-11-19 17:36:57,2025-11-19 17:36:57
1278,667,4,KBVision,kbvision,2025-11-19 17:36:57,2025-11-19 17:36:57
2358,1773,6,Botslab,botslab,2025-11-19 17:44:02,2025-11-19 17:44:02
1291,363,3,Tripod,tripod,2025-11-19 17:44:02,2025-11-19 17:44:02
774,1291,4,Phụ kiện chụp ảnh,chup-anh,2025-11-19 17:44:02,2025-11-19 17:44:02
1750,667,4,Yoosee,yoosee,2025-11-19 17:44:02,2025-11-19 17:44:02
2013,667,4,Dahua,dahua,2025-11-19 17:44:02,2025-11-19 17:44:02
1634,30,2,Máy ảnh,may-anh,2025-11-19 17:44:02,2025-11-19 17:44:02
1865,363,4,Phụ kiện máy ảnh ,phu-kien-may-anh,2025-11-19 17:44:02,2025-11-19 17:44:02
2200,1865,5,Máy in ảnh,may-in-anh,2025-11-19 17:44:02,2025-11-19 17:44:02
1706,937,3,Flycam,flycam,2025-11-19 17:44:02,2025-11-19 17:44:02
2404,2372,5,Hanet,hanet,2025-11-19 17:44:02,2025-11-19 17:44:02
2405,667,4,Vantech,vantech,2025-11-19 17:44:02,2025-11-19 17:44:02
2359,1772,5,Tiandy,tiandy,2025-11-19 17:44:02,2025-11-19 17:44:02
2006,363,4,DJI,dji,2025-11-19 17:44:05,2025-11-19 17:44:05
1277,667,4,Hikvision,hikvision,2025-11-19 17:44:05,2025-11-19 17:44:05
2615,1277,5,Camera mini,camera-mini,2025-11-19 17:44:05,2025-11-19 17:44:05
1282,667,4,Xiaomi,xiaomi,2025-11-19 17:44:08,2025-11-19 17:44:08
2406,2006,5,DJI Mini,mini,2025-11-19 17:44:08,2025-11-19 17:44:08
2411,2006,5,DJI FPV,fpv,2025-11-19 17:44:08,2025-11-19 17:44:08
2407,2006,5,DJI Air,air,2025-11-19 17:44:08,2025-11-19 17:44:08
1747,363,4,Phụ kiện điện thoại,dien-thoai,2025-11-19 17:44:08,2025-11-19 17:44:08
1748,1747,5,Giá đỡ điện thoại ,gia-do-dien-thoai,2025-11-19 17:44:08,2025-11-19 17:44:08
2606,363,4,Flycam SJRC,sjrc,2025-11-19 17:44:11,2025-11-19 17:44:11
2410,2006,5,DJI Avata,avata,2025-11-19 17:44:11,2025-11-19 17:44:11
2558,1277,5,Thang máy,thang-may,2025-11-19 17:44:11,2025-11-19 17:44:11
1269,363,4,Boya,boya,2025-11-19 17:44:11,2025-11-19 17:44:11
2409,2006,5,DJI Inspire,inspire,2025-11-19 17:44:15,2025-11-19 17:44:15
1276,667,4,Tapo (TP-Link),tp-link,2025-11-19 17:44:18,2025-11-19 17:44:18
1280,667,5,Tenda,tenda,2025-11-19 17:44:21,2025-11-19 17:44:21
2441,667,4,365 Selection,365-selection,2025-11-19 17:37:00,2025-11-19 17:37:00
1381,363,4,Túi Wiwu,wiwu,2025-11-19 17:37:00,2025-11-19 17:37:00
1749,1291,7,Gậy chụp ảnh ,gay-chup-anh,2025-11-19 17:37:00,2025-11-19 17:37:00
347,30,2,Phụ kiện Xiaomi,xiaomi,2025-11-19 17:37:03,2025-11-19 17:37:03
1758,1747,5,Sharp,sharp,2025-11-19 17:37:07,2025-11-19 17:37:07
1281,1148,5,Imou,imou,2025-11-19 17:37:21,2025-11-19 17:37:21
2591,1773,6,Giám sát trẻ em,trong-tre-em-be,2025-11-19 17:43:59,2025-11-19 17:43:59
220,,1,Âm thanh,thiet-bi-am-thanh,2025-11-19 17:37:11,2025-11-19 17:37:11
265,220,2,Tai nghe,tai-nghe,2025-11-19 17:37:11,2025-11-19 17:37:11
92,265,3,Tai nghe nhét tai,tai-nghe-nhet-tai,2025-11-19 17:37:11,2025-11-19 17:37:11
333,92,4,Samsung,samsung,2025-11-19 17:37:11,2025-11-19 17:37:11
491,333,5,Tai nghe Bluetooth,tai-nghe-bluetooth,2025-11-19 17:37:11,2025-11-19 17:37:11
682,491,6,Tai nghe không dây,tai-nghe-khong-day,2025-11-19 17:37:11,2025-11-19 17:37:11
346,265,4,Xiaomi,xiaomi,2025-11-19 17:37:11,2025-11-19 17:37:11
671,491,5,Tai nghe Gaming,gaming,2025-11-19 17:37:11,2025-11-19 17:37:11
1090,671,6,Soundpeats,soundpeats,2025-11-19 17:37:11,2025-11-19 17:37:11
1093,682,6,Huawei,huawei,2025-11-19 17:37:11,2025-11-19 17:37:11
195,92,4,Sony,sony,2025-11-19 17:37:11,2025-11-19 17:37:11
244,92,5,JBL,jbl,2025-11-19 17:37:11,2025-11-19 17:37:11
334,92,5,Bose,bose,2025-11-19 17:37:11,2025-11-19 17:37:11
950,491,5,Thể thao ,the-thao,2025-11-19 17:37:11,2025-11-19 17:37:11
1474,491,5,Baseus,baseus,2025-11-19 17:37:11,2025-11-19 17:37:11
276,265,4,Anker,anker,2025-11-19 17:37:11,2025-11-19 17:37:11
69,265,4,Tai nghe chụp tai,headphones,2025-11-19 17:37:11,2025-11-19 17:37:11
1069,491,6,Havit,havit,2025-11-19 17:37:11,2025-11-19 17:37:11
2528,491,5,Tai nghe Ugreen,ugreen,2025-11-19 18:27:13,2025-11-19 18:27:13
2339,682,5,Tai nghe RIVERSONG,riversong,2025-11-19 18:27:13,2025-11-19 18:27:13
2458,682,6,Tai nghe Divoom,divoom,2025-11-19 18:27:13,2025-11-19 18:27:13
608,491,6,Tronsmart,tronsmart,2025-11-19 18:27:13,2025-11-19 18:27:13
1245,950,6,Edifier,edifier,2025-11-19 18:27:13,2025-11-19 18:27:13
2402,682,6,Tai nghe Trusmi,trusmi,2025-11-19 18:27:13,2025-11-19 18:27:13
1473,682,6,EarFun ,earfun,2025-11-19 18:27:13,2025-11-19 18:27:13
2193,491,5,Tai nghe ONEODIO,oneodio,2025-11-19 18:27:13,2025-11-19 18:27:13
1092,491,4,Oppo,oppo,2025-11-19 18:27:13,2025-11-19 18:27:13
43,220,3,Phụ Kiện Apple,apple,2025-11-19 18:27:13,2025-11-19 18:27:13
384,69,6,Apple,apple,2025-11-19 18:27:13,2025-11-19 18:27:13
856,491,8,Beats,beats,2025-11-19 18:27:13,2025-11-19 18:27:13
987,856,9,Tai nghe,tai-nghe,2025-11-19 18:27:13,2025-11-19 18:27:13
1338,265,3,Phụ kiện Baseus,baseus,2025-11-19 18:27:13,2025-11-19 18:27:13
669,265,3,Gaming Gear,gaming-gear,2025-11-19 18:27:13,2025-11-19 18:27:13
1071,682,8,Asus,asus,2025-11-19 18:27:13,2025-11-19 18:27:13
2207,950,5,Tai nghe HiFuTure,hifuture,2025-11-19 18:27:17,2025-11-19 18:27:17
1494,987,10,Airpods Pro,airpods-pro,2025-11-19 18:27:17,2025-11-19 18:27:17
1373,265,3,Havit,havit,2025-11-19 18:27:17,2025-11-19 18:27:17
107,69,4,Sennheiser,sennheiser,2025-11-19 18:27:20,2025-11-19 18:27:20
490,107,5,Tai nghe Có dây,co-day,2025-11-19 18:27:20,2025-11-19 18:27:20
2446,491,6,Tai nghe STARGO,stargo,2025-11-19 18:27:20,2025-11-19 18:27:20
273,92,4,Jabra,jabra,2025-11-19 18:27:20,2025-11-19 18:27:20
1088,682,7,LG,lg,2025-11-19 18:27:23,2025-11-19 18:27:23
1086,682,6,Defunc,defunc,2025-11-19 18:27:23,2025-11-19 18:27:23
1475,682,6,Robot,robot,2025-11-19 18:27:27,2025-11-19 18:27:27
1073,682,6,Realme,realme,2025-11-19 18:27:27,2025-11-19 18:27:27
1085,491,5,Logitech,logitech,2025-11-19 18:27:30,2025-11-19 18:27:30
1285,937,2,Tai nghe mới,tai-nghe,2025-11-19 18:27:30,2025-11-19 18:27:30
2724,682,5,Philips,philips,2025-11-19 18:27:30,2025-11-19 18:27:30
1568,682,6,Tai nghe dareu,dareu,2025-11-19 18:27:33,2025-11-19 18:27:33
1345,265,4,Phụ kiện Pisen,pisen,2025-11-19 18:27:33,2025-11-19 18:27:33
