product_id,title,meta_title,slug,thumb,desc,summary,type,sku,price,quantity,published_at,status,discount,created_at,updated_at
87608,Camera hành trình GoPro Hero 13 Black,"Camera Gopro Hero 13 Black | Chính hãng, giá rẻ, góp 0%",camera-hanh-trinh-gopro-hero-13-black,/c/a/camera_h_nh_tr_nh_2_3.png,"Sale ""She"" m từ ngy 4/3 - 9/3 : Giảm gi cực sốc (số lượng c hạn, p dụng cng ưu đi Smember). Ngy cuối hotsale chỉ p dụng thanh ton online 100% hoặc thanh ton trực tiếp tại cửa hng.","Gopro 13 c khả năng quay video 5.3K v chụp ảnh 27MP, n mang lại hnh ảnh sắc nt v chất lượng cao.Cng nghệ HyperSmooth 6.0 gip ổn định hnh ảnh tối ưu, ngay cả trong những điều kiện vận động mạnh.Mn hnh cảm ứng trước v sau gip người dng dễ dng điều chỉnh v xem lại cc cảnh quay.Camera GoPro Hero 13 cn được trang bị khả năng chống nước ln đến 10m m khng cần vỏ bảo vệ, l tưởng cho cc cuộc phiu lưu ngoi trời.",Camera hành động,camera-hanh-trinh-gopro-hero-13-black,11490000,999,2025-11-19 17:36:57,1,1800000,2025-11-19 17:36:57,2025-11-19 17:36:57
97684,DJI Osmo 360 Adventure Combo,"DJI Osmo 360 Adventure Combo chính hãng, giá tốt, góp 0%",camera-hanh-dong-dji-osmo-360-adventure-combo,/c/a/camera-hanh-dong-dji-osmo-action-360-advanced-combo.png,,"Cảm biến 1 inch với hnh ảnh 360 với độ phn giải ln đến 120 MP, mang lại chi tiết sắc nt v mu sắc chn thựcQuay video 4K/120fps với gc nhn siu rộng 170, hon hảo cho hnh động tốc độ cao v cảnh quan ngoạn mụcQuay video 360 8K với mu sắc 10-bit, cung cấp chất lượng điện ảnh ấn tượngKết nối Micro OsmoAudio đảm bảo m thanh r rng trong mọi mi trường, nng cao trải nghiệm ghi hnhThiết kế nhỏ gọn, cơ chế tho lắp nam chm tiện lợi, dễ dng mang theo v sử dụng",Camera hành động,camera-hanh-dong-dji-osmo-action-360-advanced-combo,13990000,999,2025-11-19 17:36:57,1,3070000,2025-11-19 17:36:57,2025-11-19 17:36:57
104126,Camera IP 360 độ 8MP Eufy Dual Lens S350,Camera IP 360 độ 8MP Eufy Dual Lens S350 | Giá rẻ,camera-ip-dual-lens-eufy-4k-s350,/c/a/camera-ip-dual-lens-eufy-4k-s350_8_.png,"Flash Sale cuối tuần từ 9:00-11:00 ngy 1/11/2025 p dụng thanh ton online 100% (trừ chuyển khoản). Mỗi khch chỉ mua 1 sản phẩm trong chương trnh. Giữ đơn hng trong 24h. Số lượng c hạn, khuyến mi c thể kết thc sớm","Camera kp với độ r nt 4K UHD mang đến hnh ảnh sắc nt v chi tiết, l tưởng cho việc gim st ngi nhKết hợp camera gc rộng 4K v camera tele 2K với zoom lai 8x, dễ dng theo di mọi chi tiếtXoay ngang v nghing 360 gip gim st ton bộ khng gian m khng c điểm m, ph hợp cho th cưngCảm biến f/1.6 v 8 đn hồng ngoại cho php nhn r khun mặt ở khoảng cch 32 ft trong điều kiện nh sng yếuTnh năng theo di AI tự động nhận diện v theo di thnh vin gia đnh hoặc th cưng trong phng",-,camera-ip-dual-lens-eufy-4k-s350,2990000,999,2025-11-19 17:36:57,1,400000,2025-11-19 17:36:57,2025-11-19 17:36:57
97381,Camera IP WiFi Ezviz C6N Pro 2K 3MP quay quét 360 độ,Camera Ezviz IP C6N Pro 2K 3MP 360 - TẶNG thẻ nhớ 64GB,camera-ip-hong-ngoai-khong-day-ezviz-c6n-3mp,/c/a/camera-ip-hong-ngoai-khong-day-ezviz-c6n-3mp_3_.png,"Sale 20/10 từ ngy 17/10 - 20/10 : Giảm gi chỉ cn 490,000đ (số lượng c hạn, khng p dụng cng chương trnh tặng thẻ nhớ, p dụng cng ưu đi Smember). Ngy cuối hotsale chỉ p dụng thanh ton online 100% hoặc thanh ton trực tiếp tại cửa hng.","Camera Ezviz C6N Pro 2K, quan st ton cảnh 360 độ, chế độ tuần tra ty chỉnh, khng bỏ st gc noPht hiện chuyển động người, m thanh bất thường, thng bo kịp thời đến điện thoạiNt gọi khẩn cấp trn Ezviz C6N Pro, lin lạc với gia đnh dễ dng trong trường hợp cần thiếtGhi hnh mu ban đm, theo di tự động, bảo vệ an ninh 24/7Chế độ ngủ bảo vệ sự ring tư, an tm sử dụng cho gia đnh",-,camera-ip-hong-ngoai-khong-day-ezviz-c6n-3mp,610000,999,2025-11-19 17:36:57,1,80000,2025-11-19 17:36:57,2025-11-19 17:36:57
108848,Bộ HUD kính lái VIETMAP H1AS (không kèm van áp suất lốp),Bộ HUD kính lái VIETMAP H1AS (không kèm van áp suất lốp) | Giá rẻ,bo-hud-kinh-lai-vietmap-h1as-khong-kem-van-ap-suat-lop,/b/o/bo-hud-kinh-lai-vietmap-h1as-khong-kem-van-ap-suat-lop_1_.png,,"Mn hnh hiển thị thng tin ln knh li xe cung cấp thng tin dữ liệu giao thng, hướng dẫn chỉ đường chi tiếtTheo di v hiển thị thng tin nhiệt độ v p suất lốp xe, cảnh bo hỗ trợ an tonSử dụng thng tin tốc độ thực tế lấy từ giao thức OBDII để cảnh bo vượt qu tốc độTch hợp loa ngoi để cảnh bo bằng giọng niTương thch kết nối thiết bị di động, cho php đồng bộ danh bạ v hiển thị thng tin cuộc gọi đến",-,bo-hud-kinh-lai-vietmap-h1as-khong-kem-van-ap-suat-lop,2490000,999,2025-11-19 17:36:57,1,1000000,2025-11-19 17:36:57,2025-11-19 17:36:57
88026,Vietmap Live Pro 12 Tháng,Vietmap Live Pro 12 Tháng | Giá rẻ,vietmap-live-pro-12-thang,/v/i/vietmap-live-pro-12-thang_1_.png,"Hotsale từ ngy 23/05 - 26/05 : Giảm gi chỉ cn 390,000đ (số lượng c hạn, p dụng cng ưu đi Smember). Ngy cuối hotsale chỉ p dụng thanh ton online 100% hoặc thanh ton trực tiếp tại cửa hng.",,-,DV.PM.02,500000,999,2025-11-19 17:36:57,1,75000,2025-11-19 17:36:57,2025-11-19 17:36:57
78144,Camera Insta360 X4,"Insta360 X4 (One X4) | Giá rẻ, chính hãng, trả trước từ 1tr",camera-hanh-trinh-insta-360-x4,/c/a/camera-hanh-trinh-insta-360-x4-spa.png,"Hotsale từ ngy 25/04 - 02/05 : Giảm gi chỉ cn 11,990,000đ (số lượng c hạn, p dụng cng ưu đi Smember). Ngy cuối hotsale chỉ p dụng thanh ton online 100% hoặc thanh ton trực tiếp tại cửa hng.","Chụp 360 trong 8K đắm chm trong thế giới r rng đến kh tin với chất lượng hnh ảnh 8K,từng chi tiết sống độngInsta 360X4 mang đến trải nghiệm hnh ảnh mượt m hơn, sắc nt hơn trong mọi khung hnh với mức tăng cường ln 60 khung hnh/giyChọn những gc đẹp nhất sau khi quay với cng cụ cắt ảnh được hỗ trợ bởi AI, khng bao giờ bỏ lỡ khoảnh khắcQuay phim với chế độ video HDR cải tiến trn Insta 360 X4 gip lm nổi bật chi tiết, mang lại độ ổn định tuyệt vời nhấtỔn định FlowState mang lại video mượt m, chất lượng cao cho d cuộc phiu lưu của bạn c căng thẳng đến đu",Camera hành trình,camera-hanh-trinh-insta-360-x4,13290000,999,2025-11-19 17:36:57,1,2000000,2025-11-19 17:36:57,2025-11-19 17:36:57
117055,Camera hành động Akaso 4K Brave 7,Camera hành động Akaso 4K Brave 7 | Giá rẻ,camera-hanh-dong-akaso-brave-7,/c/a/camera-hanh-dong-akaso-brave-7.png,,"Video 4K60fps & 20MP ảnh ghi lại mọi cuộc phiu lưu với độ chi tiết v r rng tuyệt vờiMn hnh đi tiện lợi, chuyển đổi dễ dng giữa chế độ xem trước độ phn giải cao v chế độ selfieChống nước IPX8, an ton khi sử dụng dưới nước ln đến 40m, l tưởng cho cc hoạt động thể thaoGiảm rung EIS 4.0, cng nghệ chống rung tin tiến đảm bảo video mượt m, ngay cả trong điều kiện gập ghềnhTch hợp điều khiển bằng giọng ni, điều khiển từ xa v ứng dụng AKASO GO cho php dễ dng ghi hnh v chia sẻ nội dung",Camera hành động,camera-hanh-dong-akaso-brave-7,5990000,999,2025-11-19 17:36:57,1,0,2025-11-19 17:36:57,2025-11-19 17:36:57
97791,Camera IP 360 độ 4MP Imou IPC-A43,Camera IP 360 độ 4MP Imou IPC-A43 | Giá rẻ,camera-ip-wifi-4mp-imou-ipc-a43,/c/a/camera-ip-wifi-4mp-imou-ipc-a43.1.png,"Hotsale từ ngy 21/11 - 23/11 : Giảm gi chỉ cn 510,000đ (số lượng c hạn, p dụng cng ưu đi Smember). Ngy cuối hotsale chỉ p dụng thanh ton online 100% hoặc thanh ton trực tiếp tại cửa hng. Khng bao gồm thẻ nhớ.","Độ phn giải 4.0 MP, hnh ảnh sắc nt, tầm xa hồng ngoại 10mĐm thoại 2 chiều, tch hợp Wifi, khng cần dy mạngAI thng minh pht hiện người, bo động, quay theo đối tượngKhe cắm thẻ nhớ Micro SD, Max 256GB, lưu trữ video dễ dngGi thnh hợp l, ph hợp cho gia đnh, cửa hng, văn phng",-,camera-ip-wifi-4mp-imou-ipc-a43,890000,999,2025-11-19 17:36:57,1,220000,2025-11-19 17:36:57,2025-11-19 17:36:57
44519,Gimbal DJI OM 6,DJI Osmo Mobile 6 (DJI OM 6) - Gimbal chống rung giá tốt,tay-cam-chong-rung-dji-om-6,/t/a/tay-cam-chong-rung-dji-om-6_1.png,"Sale ""She"" m từ ngy 4/3 - 9/3 : Giảm gi cực sốc (số lượng c hạn, p dụng cng ưu đi Smember). Ngy cuối hotsale chỉ p dụng thanh ton online 100% hoặc thanh ton trực tiếp tại cửa hng.",,Camera hành trình,tay-cam-chong-rung-dji-om-6,3690000,999,2025-11-19 17:36:57,1,1840000,2025-11-19 17:36:57,2025-11-19 17:36:57
